id,say_this,ground_truth
u01,"Send the signed lease to Daniel by Friday.","send the signed lease to daniel by friday"
u02,"Call Maria at four zero five, nine one two, seven seven.","call maria at four zero five nine one two seven seven"
u03,"The meeting moved to Room four B on the third floor.","the meeting moved to room four b on the third floor"
u04,"Priya Nair will present the quarterly budget on Thursday.","priya nair will present the quarterly budget on thursday"
u05,"Ship the package to fourteen hundred Shattuck Avenue, Berkeley.","ship the package to fourteen hundred shattuck avenue berkeley"
u06,"The confirmation code is A seven X four two.","the confirmation code is a seven x four two"
u07,"Reschedule the call with mister Okafor to nine thirty.","reschedule the call with mister okafor to nine thirty"
u08,"Our flight to Chicago departs from gate twelve B.","our flight to chicago departs from gate twelve b"
u09,"Add three hundred dollars to invoice number six one four.","add three hundred dollars to invoice number six one four"
u10,"The passphrase is Tango Bravo seven seven Zulu.","the passphrase is tango bravo seven seven zulu"
u11,"Deliver it to Sofia Martinez at eighty eight Elm Street.","deliver it to sofia martinez at eighty eight elm street"
u12,"Turn left on Highway one zero one towards San Jose.","turn left on highway one zero one towards san jose"
u13,"The order total is forty seven dollars and fifty cents.","the order total is forty seven dollars and fifty cents"
u14,"Email the draft to Wei Zhang before end of day.","email the draft to wei zhang before end of day"
u15,"The unit number is B as in Bravo, one four.","the unit number is b as in bravo one four"
u16,"Book a table for six under the name Fitzgerald.","book a table for six under the name fitzgerald"
u17,"The serial number reads Q nine J zero five.","the serial number reads q nine j zero five"
u18,"Increase the dosage to fifteen milligrams twice daily.","increase the dosage to fifteen milligrams twice daily"
u19,"Meet doctor Ahmed at the corner of Fifth and Main.","meet doctor ahmed at the corner of fifth and main"
u20,"The discount is twenty percent off orders over fifty.","the discount is twenty percent off orders over fifty"
u21,"Forward the file to accounting and legal by Monday.","forward the file to accounting and legal by monday"
u22,"The gate code is pound four nine two seven.","the gate code is pound four nine two seven"
u23,"Charge it to the card ending in three three zero one.","charge it to the card ending in three three zero one"
u24,"Nguyen and O'Brien approved the merger this morning.","nguyen and obrien approved the merger this morning"
u25,"The warehouse is on Route sixteen near Lake Tahoe.","the warehouse is on route sixteen near lake tahoe"
u26,"Text me the address for the Kowalski wedding.","text me the address for the kowalski wedding"
u27,"The batch expires on the ninth of October.","the batch expires on the ninth of october"
u28,"Set a reminder for two fifteen this afternoon.","set a reminder for two fifteen this afternoon"
u29,"The invoice references purchase order five five four two.","the invoice references purchase order five five four two"
u30,"Send flowers to grandma at forty two Rosewood Lane.","send flowers to grandma at forty two rosewood lane"
u31,"The wifi network is Falcon underscore two four.","the wifi network is falcon underscore two four"
u32,"Confirm the reservation for Alexander at seven pm.","confirm the reservation for alexander at seven pm"
u33,"The tracking id is one Z nine nine A W five.","the tracking id is one z nine nine a w five"
u34,"Please transfer eight hundred euros to the vendor.","please transfer eight hundred euros to the vendor"
u35,"Drop the rental at terminal three, level two.","drop the rental at terminal three level two"
u36,"The client is Henderson and Sons, incorporated.","the client is henderson and sons incorporated"
u37,"Dial extension four zero nine for technical support.","dial extension four zero nine for technical support"
u38,"The coordinates are thirty seven north, one two two west.","the coordinates are thirty seven north one two two west"
u39,"Renew the license plate seven H D K nine one.","renew the license plate seven h d k nine one"
u40,"Ask Yamamoto to sign page twelve before we file.","ask yamamoto to sign page twelve before we file"
